filename,address,ip,packet_loss,rtt_min,rtt_avg,rtt_max,rtt_mdev
2024-03-30_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.223,5.643,12.546,0.770
2024-03-30_02.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.13,0,7.125,7.450,10.054,0.397
2024-03-30_02.txt,uom.squizedge.cloud,104.18.16.217,0,11.616,11.898,13.736,0.355
2024-03-30_02.txt,www5.usp.br,200.144.248.54,0,141.392,141.774,143.276,0.292
2024-03-30_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.190,5.858,13.670,1.224
2024-03-30_09.txt,p3ureb8hc.cdn2.mlycdn.com,20.239.114.187,0,188.776,189.232,195.659,0.801
2024-03-30_09.txt,uom.squizedge.cloud,104.18.16.217,0,11.643,11.999,15.645,0.533
2024-03-30_09.txt,www5.usp.br,200.144.248.54,0,140.968,141.445,144.570,0.438
2024-03-30_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.226,5.650,8.919,0.608
2024-03-30_17.txt,p3ureb8hc.cdn2.mlycdn.com,99.84.9.111,0,6.271,6.939,37.275,2.837
2024-03-30_17.txt,uom.squizedge.cloud,104.18.16.217,0,11.640,12.182,24.189,1.705
2024-03-30_17.txt,www5.usp.br,200.144.248.54,0,141.093,141.568,144.283,0.427
2024-03-30_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.277,5.640,9.560,0.566
2024-03-30_23.txt,p3ureb8hc.cdn2.mlycdn.com,99.83.129.143,0,7.213,7.596,9.387,0.441
2024-03-30_23.txt,uom.squizedge.cloud,104.18.16.217,0,11.631,11.933,14.280,0.380
2024-03-30_23.txt,www5.usp.br,200.144.248.54,0,141.084,141.686,144.121,0.585
2024-03-31_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.244,5.754,12.559,0.981
2024-03-31_02.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,6.434,6.824,11.211,0.641
2024-03-31_02.txt,uom.squizedge.cloud,104.18.17.217,0,11.526,11.942,14.290,0.434
2024-03-31_02.txt,www5.usp.br,200.144.248.54,0,141.089,141.732,145.398,0.779
2024-03-31_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.236,5.704,21.589,1.505
2024-03-31_09.txt,p3ureb8hc.cdn2.mlycdn.com,52.85.158.22,0,65.449,65.717,70.207,0.486
2024-03-31_09.txt,uom.squizedge.cloud,104.18.17.217,0,11.576,11.969,14.431,0.479
2024-03-31_09.txt,www5.usp.br,200.144.248.54,0,141.544,142.029,146.829,0.647
2024-03-31_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.241,5.932,40.392,3.224
2024-03-31_17.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.118,0,7.168,7.476,10.175,0.456
2024-03-31_17.txt,uom.squizedge.cloud,104.18.16.217,0,11.559,12.198,37.457,2.387
2024-03-31_17.txt,www5.usp.br,200.144.248.54,0,141.111,141.451,143.356,0.295
2024-03-31_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.213,5.702,10.259,0.722
2024-03-31_23.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.118,0,7.161,7.479,10.737,0.453
2024-03-31_23.txt,uom.squizedge.cloud,104.18.17.217,0,11.600,12.118,25.562,1.406
2024-03-31_23.txt,www5.usp.br,200.144.248.54,0,141.523,142.173,146.254,0.767
2024-04-01_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.235,5.665,7.948,0.535
2024-04-01_02.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.118,0,7.183,7.593,10.059,0.570
2024-04-01_02.txt,uom.squizedge.cloud,104.18.17.217,0,11.585,11.949,14.303,0.484
2024-04-01_02.txt,www5.usp.br,200.144.248.54,0,141.528,142.016,144.278,0.444
2024-04-01_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.284,5.661,11.537,0.924
2024-04-01_09.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.27,0,7.168,7.524,9.713,0.494
2024-04-01_09.txt,uom.squizedge.cloud,104.18.16.217,0,11.648,12.008,14.114,0.457
2024-04-01_09.txt,www5.usp.br,200.144.248.54,0,141.033,141.528,143.897,0.528
2024-04-01_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.160,5.656,11.352,0.714
2024-04-01_17.txt,p3ureb8hc.cdn2.mlycdn.com,108.156.60.24,0,11.220,11.657,14.401,0.564
2024-04-01_17.txt,uom.squizedge.cloud,104.18.17.217,0,11.640,11.991,17.338,0.712
2024-04-01_17.txt,www5.usp.br,200.144.248.54,0,141.045,141.507,146.284,0.607
2024-04-01_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.217,6.069,40.101,3.478
2024-04-01_23.txt,p3ureb8hc.cdn2.mlycdn.com,18.165.160.21,0,11.582,11.993,14.769,0.527
2024-04-01_23.txt,uom.squizedge.cloud,104.18.17.217,0,11.562,11.935,14.601,0.434
2024-04-01_23.txt,www5.usp.br,200.144.248.54,0,141.491,141.952,145.948,0.627
2024-04-02_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.224,5.799,12.700,1.145
2024-04-02_02.txt,p3ureb8hc.cdn2.mlycdn.com,75.2.36.65,0,7.049,7.514,14.308,0.760
2024-04-02_02.txt,uom.squizedge.cloud,104.18.17.217,0,11.623,12.007,15.558,0.647
2024-04-02_02.txt,www5.usp.br,200.144.248.54,0,141.083,141.541,144.003,0.553
2024-04-02_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.271,5.873,17.454,1.389
2024-04-02_09.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.13,0,7.021,7.532,10.725,0.605
2024-04-02_09.txt,uom.squizedge.cloud,104.18.17.217,0,11.599,11.983,15.831,0.573
2024-04-02_09.txt,www5.usp.br,200.144.248.54,0,141.535,142.132,145.745,0.644
2024-04-02_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.201,5.813,10.151,0.943
2024-04-02_17.txt,p3ureb8hc.cdn2.mlycdn.com,20.239.114.91,0,189.511,189.985,195.113,0.751
2024-04-02_17.txt,uom.squizedge.cloud,104.18.17.217,0,11.560,11.972,15.321,0.481
2024-04-02_17.txt,www5.usp.br,200.144.248.54,4,141.354,142.136,145.214,0.684
2024-04-02_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.188,5.683,12.644,0.796
2024-04-02_23.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.27,0,7.194,7.477,10.172,0.378
2024-04-02_23.txt,uom.squizedge.cloud,104.18.16.217,0,11.614,12.033,24.205,1.182
2024-04-02_23.txt,www5.usp.br,200.144.248.54,0,141.014,141.551,145.014,0.656
2024-04-03_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.225,5.835,14.353,1.349
2024-04-03_02.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.125,7.556,12.948,0.736
2024-04-03_02.txt,uom.squizedge.cloud,104.18.16.217,0,11.628,11.925,16.023,0.554
2024-04-03_02.txt,www5.usp.br,200.144.248.54,0,141.740,142.393,145.242,0.671
2024-04-03_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.192,5.905,31.433,2.419
2024-04-03_09.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.27,0,7.160,7.562,10.278,0.548
2024-04-03_09.txt,uom.squizedge.cloud,104.18.17.217,0,11.600,12.012,14.247,0.505
2024-04-03_09.txt,www5.usp.br,200.144.248.54,0,141.300,141.847,149.454,0.828
2024-04-03_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.170,5.726,12.613,0.921
2024-04-03_17.txt,p3ureb8hc.cdn2.mlycdn.com,75.2.36.65,0,7.076,7.493,11.614,0.552
2024-04-03_17.txt,uom.squizedge.cloud,104.18.17.217,0,11.603,11.972,14.941,0.503
2024-04-03_17.txt,www5.usp.br,200.144.248.54,0,141.410,141.972,147.107,0.809
2024-04-03_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.225,5.681,8.673,0.667
2024-04-03_23.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.157,7.553,10.991,0.563
2024-04-03_23.txt,uom.squizedge.cloud,104.18.16.217,0,11.554,12.022,19.879,0.898
2024-04-03_23.txt,www5.usp.br,200.144.248.54,0,141.340,142.013,146.190,0.726
2024-04-04_02.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.187,5.843,15.119,1.205
2024-04-04_02.txt,p3ureb8hc.cdn2.mlycdn.com,18.244.179.64,0,7.158,7.595,15.566,0.870
2024-04-04_02.txt,uom.squizedge.cloud,104.18.16.217,0,11.564,11.858,14.374,0.388
2024-04-04_02.txt,www5.usp.br,200.144.248.54,0,141.439,142.172,145.862,0.638
2024-04-04_09.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.186,5.676,14.428,0.978
2024-04-04_09.txt,p3ureb8hc.cdn2.mlycdn.com,20.239.114.187,0,188.883,189.804,193.039,0.773
2024-04-04_09.txt,uom.squizedge.cloud,104.18.17.217,0,11.568,12.029,17.907,0.704
2024-04-04_09.txt,www5.usp.br,200.144.248.54,0,141.359,142.140,144.668,0.484
2024-04-04_17.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.194,5.624,9.551,0.530
2024-04-04_17.txt,p3ureb8hc.cdn2.mlycdn.com,20.239.114.187,0,188.776,189.306,195.250,0.770
2024-04-04_17.txt,uom.squizedge.cloud,104.18.16.217,0,11.576,11.981,15.989,0.606
2024-04-04_17.txt,www5.usp.br,200.144.248.54,0,141.393,141.900,145.083,0.560
2024-04-04_23.txt,pantheon-systems.map.fastly.net,146.75.74.133,0,5.222,5.596,7.676,0.454
2024-04-04_23.txt,p3ureb8hc.cdn2.mlycdn.com,65.9.25.95,0,36.900,37.376,50.124,1.351
2024-04-04_23.txt,uom.squizedge.cloud,104.18.16.217,0,11.537,11.983,14.393,0.512
2024-04-04_23.txt,www5.usp.br,200.144.248.54,0,141.858,142.304,144.279,0.482
